Input.content,Answer.sentiment
"{RT @CNNPolitics: Nigel Farage and Donald Trump have a ""very productive"" meeting at Trump Tower }",Positive
"{RT @CNNPolitics: Nigel Farage and Donald Trump have a ""very productive"" meeting at Trump Tower }",Positive
"{RT @CNNPolitics: Nigel Farage and Donald Trump have a ""very productive"" meeting at Trump Tower }",Positive
"{RT @CNNPolitics: Nigel Farage and Donald Trump have a ""very productive"" meeting at Trump Tower }",Positive
{Chappelle is right: Trump needs to earn our support },Negative
{Chappelle is right: Trump needs to earn our support },Positive
{Chappelle is right: Trump needs to earn our support },Positive
{Chappelle is right: Trump needs to earn our support },Positive
"{After Trump win, New Yorkers volunteer to aid fearful commuters }",Negative
"{After Trump win, New Yorkers volunteer to aid fearful commuters }",Positive
"{After Trump win, New Yorkers volunteer to aid fearful commuters }",Positive
"{After Trump win, New Yorkers volunteer to aid fearful commuters }",Negative
"{RT @CNNPolitics: Speaker Ryan: ""We are not planning on erecting a deportation force"" }",Positive
"{RT @CNNPolitics: Speaker Ryan: ""We are not planning on erecting a deportation force"" }",Positive
"{RT @CNNPolitics: Speaker Ryan: ""We are not planning on erecting a deportation force"" }",Negative
"{RT @CNNPolitics: Speaker Ryan: ""We are not planning on erecting a deportation force"" }",Negative
{Sources: Trump is expected to pick Reince Priebus as White House chief of staff },Positive
{Sources: Trump is expected to pick Reince Priebus as White House chief of staff },Positive
{Sources: Trump is expected to pick Reince Priebus as White House chief of staff },Positive
{Sources: Trump is expected to pick Reince Priebus as White House chief of staff },Positive
{Inside Donald Trump's America: What the newly minted US President-elect has promised },Positive
{Inside Donald Trump's America: What the newly minted US President-elect has promised },Positive
{Inside Donald Trump's America: What the newly minted US President-elect has promised },Positive
{Inside Donald Trump's America: What the newly minted US President-elect has promised },Positive
{Trump's attorneys ask for the Trump University trial to be postponed until after his swearing-in… },Negative
{Trump's attorneys ask for the Trump University trial to be postponed until after his swearing-in… },Negative
{Trump's attorneys ask for the Trump University trial to be postponed until after his swearing-in… },Negative
{Trump's attorneys ask for the Trump University trial to be postponed until after his swearing-in… },Negative
"{""You need to back off"": Van Jones, Trump supporter clash }",Negative
"{""You need to back off"": Van Jones, Trump supporter clash }",Positive
"{""You need to back off"": Van Jones, Trump supporter clash }",Negative
"{""You need to back off"": Van Jones, Trump supporter clash }",Negative
"{RT @CNNPolitics: Carl Icahn supports Trump, but he doesn't agree with all of the President-elect's policies }",Negative
"{RT @CNNPolitics: Carl Icahn supports Trump, but he doesn't agree with all of the President-elect's policies }",Negative
"{RT @CNNPolitics: Carl Icahn supports Trump, but he doesn't agree with all of the President-elect's policies }",Positive
"{RT @CNNPolitics: Carl Icahn supports Trump, but he doesn't agree with all of the President-elect's policies }",Negative
"{American Muslims express shock, fear and resolve after US presidential election }",Negative
"{American Muslims express shock, fear and resolve after US presidential election }",Negative
"{American Muslims express shock, fear and resolve after US presidential election }",Negative
"{American Muslims express shock, fear and resolve after US presidential election }",Negative
{President-elect Donald Trump is continuing his battle with one of the country's biggest news outlets… },Negative
{President-elect Donald Trump is continuing his battle with one of the country's biggest news outlets… },Negative
{President-elect Donald Trump is continuing his battle with one of the country's biggest news outlets… },Negative
{President-elect Donald Trump is continuing his battle with one of the country's biggest news outlets… },Positive
{The scene as anti-Trump protesters gather in downtown Chicago },Negative
{The scene as anti-Trump protesters gather in downtown Chicago },Negative
{The scene as anti-Trump protesters gather in downtown Chicago },Negative
{The scene as anti-Trump protesters gather in downtown Chicago },Negative
"{Ohio Trump voter: ""I'm not an angry, white, old man... [Trump] came along at the time where people were just fed up"" }",Positive
"{Ohio Trump voter: ""I'm not an angry, white, old man... [Trump] came along at the time where people were just fed up"" }",Negative
"{Ohio Trump voter: ""I'm not an angry, white, old man... [Trump] came along at the time where people were just fed up"" }",Positive
"{Ohio Trump voter: ""I'm not an angry, white, old man... [Trump] came along at the time where people were just fed up"" }",Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Reporter's notebook: The Donald Trump victory we didn't see coming },Negative
{Reporter's notebook: The Donald Trump victory we didn't see coming },Negative
{Reporter's notebook: The Donald Trump victory we didn't see coming },Negative
{Reporter's notebook: The Donald Trump victory we didn't see coming },Negative
{Mexico is stunned by Donald Trump's US presidential election win },Negative
{Mexico is stunned by Donald Trump's US presidential election win },Negative
{Mexico is stunned by Donald Trump's US presidential election win },Negative
{Mexico is stunned by Donald Trump's US presidential election win },Negative
{New York protester on Donald Trump: I came to the US to get away from people like that },Negative
{New York protester on Donald Trump: I came to the US to get away from people like that },Positive
{New York protester on Donald Trump: I came to the US to get away from people like that },Positive
{New York protester on Donald Trump: I came to the US to get away from people like that },Negative
{RT @CNNMoney: Similar positions on trade could help the UAW and Trump become allies. },Negative
{RT @CNNMoney: Similar positions on trade could help the UAW and Trump become allies. },Positive
{RT @CNNMoney: Similar positions on trade could help the UAW and Trump become allies. },Positive
{RT @CNNMoney: Similar positions on trade could help the UAW and Trump become allies. },Positive
"{State-by-state, this is how Donald Trump won }",Positive
"{State-by-state, this is how Donald Trump won }",Negative
"{State-by-state, this is how Donald Trump won }",Positive
"{State-by-state, this is how Donald Trump won }",Positive
{The secret Trump support that helped him win },Positive
{The secret Trump support that helped him win },Positive
{The secret Trump support that helped him win },Positive
{The secret Trump support that helped him win },Positive
"{NY protester: I'll respect Trump as president, but ""I’m going to fight every single day to make sure he’s one-term” }",Positive
"{NY protester: I'll respect Trump as president, but ""I’m going to fight every single day to make sure he’s one-term” }",Positive
"{NY protester: I'll respect Trump as president, but ""I’m going to fight every single day to make sure he’s one-term” }",Negative
"{NY protester: I'll respect Trump as president, but ""I’m going to fight every single day to make sure he’s one-term” }",Negative
"{Rudy Giuliani on Trump's children: ""Once he gets into government, they will not be advising him"" #CNNSOTU }",Positive
"{Rudy Giuliani on Trump's children: ""Once he gets into government, they will not be advising him"" #CNNSOTU }",Negative
"{Rudy Giuliani on Trump's children: ""Once he gets into government, they will not be advising him"" #CNNSOTU }",Positive
"{Rudy Giuliani on Trump's children: ""Once he gets into government, they will not be advising him"" #CNNSOTU }",Negative
"{Rep. Chris Collins: I could be a ""go-between” for Donald Trump and Paul Ryan }",Positive
"{Rep. Chris Collins: I could be a ""go-between” for Donald Trump and Paul Ryan }",Positive
"{Rep. Chris Collins: I could be a ""go-between” for Donald Trump and Paul Ryan }",Positive
"{Rep. Chris Collins: I could be a ""go-between” for Donald Trump and Paul Ryan }",Positive
"{Kellyanne Conway: Trump is considering a ""special session"" to repeal Obamacare on Inauguration Day… }",Positive
"{Kellyanne Conway: Trump is considering a ""special session"" to repeal Obamacare on Inauguration Day… }",Negative
"{Kellyanne Conway: Trump is considering a ""special session"" to repeal Obamacare on Inauguration Day… }",Positive
"{Kellyanne Conway: Trump is considering a ""special session"" to repeal Obamacare on Inauguration Day… }",Positive
{Protesters take to the streets in several cities after Donald Trump's US presidential win },Negative
{Protesters take to the streets in several cities after Donald Trump's US presidential win },Negative
{Protesters take to the streets in several cities after Donald Trump's US presidential win },Negative
{Protesters take to the streets in several cities after Donald Trump's US presidential win },Negative
"{.@FareedZakaria on Trump win: ""We have all managed to ignore rural America"" adds ""we all need to be listening"" now }",Positive
"{.@FareedZakaria on Trump win: ""We have all managed to ignore rural America"" adds ""we all need to be listening"" now }",Negative
"{.@FareedZakaria on Trump win: ""We have all managed to ignore rural America"" adds ""we all need to be listening"" now }",Positive
"{.@FareedZakaria on Trump win: ""We have all managed to ignore rural America"" adds ""we all need to be listening"" now }",Negative
{Who could be in the Donald Trump administration? },Positive
{Who could be in the Donald Trump administration? },Positive
{Who could be in the Donald Trump administration? },Negative
{Who could be in the Donald Trump administration? },Positive
{Giuliani denies Russian officials' claims they'd been in touch with Trump's campaign },Negative
{Giuliani denies Russian officials' claims they'd been in touch with Trump's campaign },Positive
{Giuliani denies Russian officials' claims they'd been in touch with Trump's campaign },Negative
{Giuliani denies Russian officials' claims they'd been in touch with Trump's campaign },Positive
{Protesters gather near Trump Tower in New York over election results },Negative
{Protesters gather near Trump Tower in New York over election results },Negative
{Protesters gather near Trump Tower in New York over election results },Negative
{Protesters gather near Trump Tower in New York over election results },Negative
"{Ed Rendell: ""This was not the time"" Hillary Clinton should have run for president }",Positive
"{Ed Rendell: ""This was not the time"" Hillary Clinton should have run for president }",Negative
"{Ed Rendell: ""This was not the time"" Hillary Clinton should have run for president }",Negative
"{Ed Rendell: ""This was not the time"" Hillary Clinton should have run for president }",Negative
"{.@secupp on why Democrats have agreed to work with Trump: ""At the end of the day, the country still needs running"" }",Positive
"{.@secupp on why Democrats have agreed to work with Trump: ""At the end of the day, the country still needs running"" }",Positive
"{.@secupp on why Democrats have agreed to work with Trump: ""At the end of the day, the country still needs running"" }",Positive
"{.@secupp on why Democrats have agreed to work with Trump: ""At the end of the day, the country still needs running"" }",Positive
"{""Well, I may have to start packing""",Negative
"{""Well, I may have to start packing""",Positive
"{""Well, I may have to start packing""",Positive
"{""Well, I may have to start packing""",Positive
{What Donald Trump taught us about ourselves },Positive
{What Donald Trump taught us about ourselves },Positive
{What Donald Trump taught us about ourselves },Positive
{What Donald Trump taught us about ourselves },Positive
"Ruline Steininger, a 103-year-old Clinton supporter, reacts to election result… }",Positive
"Ruline Steininger, a 103-year-old Clinton supporter, reacts to election result… }",Negative
"Ruline Steininger, a 103-year-old Clinton supporter, reacts to election result… }",Positive
"Ruline Steininger, a 103-year-old Clinton supporter, reacts to election result… }",Negative
"{Speaker Paul Ryan: ""We are not planning on erecting a deportation force"" }",Positive
"{Speaker Paul Ryan: ""We are not planning on erecting a deportation force"" }",Positive
"{Speaker Paul Ryan: ""We are not planning on erecting a deportation force"" }",Positive
"{Speaker Paul Ryan: ""We are not planning on erecting a deportation force"" }",Negative
"{Rudy Giuliani on Trump's children: ""Once he gets into government, they will not be advising him"" #CNNSOTU }",Positive
"{Rudy Giuliani on Trump's children: ""Once he gets into government, they will not be advising him"" #CNNSOTU }",Positive
"{Rudy Giuliani on Trump's children: ""Once he gets into government, they will not be advising him"" #CNNSOTU }",Positive
"{Rudy Giuliani on Trump's children: ""Once he gets into government, they will not be advising him"" #CNNSOTU }",Negative
"{Speaker Paul Ryan on people afraid of Trump: ""I hate it that people feel this way"" }",Negative
"{Speaker Paul Ryan on people afraid of Trump: ""I hate it that people feel this way"" }",Negative
"{Speaker Paul Ryan on people afraid of Trump: ""I hate it that people feel this way"" }",Negative
"{Speaker Paul Ryan on people afraid of Trump: ""I hate it that people feel this way"" }",Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
{Here's what Donald Trump thinks of other countries around the world },Positive
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Negative
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Positive
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Negative
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Negative
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Negative
{Clinton to donors: FBI letters were double whammy to campaign },Negative
{Clinton to donors: FBI letters were double whammy to campaign },Positive
{Clinton to donors: FBI letters were double whammy to campaign },Positive
{Clinton to donors: FBI letters were double whammy to campaign },Negative
{Is Donald Trump already walking away from campaign promises? },Negative
{Is Donald Trump already walking away from campaign promises? },Negative
{Is Donald Trump already walking away from campaign promises? },Negative
{Is Donald Trump already walking away from campaign promises? },Positive
"{""It's a little nutty"": Poll expert @SamWangPhD eats a bug live on air after being wrong about Trump win… }",Negative
"{""It's a little nutty"": Poll expert @SamWangPhD eats a bug live on air after being wrong about Trump win… }",Negative
"{""It's a little nutty"": Poll expert @SamWangPhD eats a bug live on air after being wrong about Trump win… }",Negative
"{""It's a little nutty"": Poll expert @SamWangPhD eats a bug live on air after being wrong about Trump win… }",Positive
{Political mega-donors found themselves sidelined as Donald Trump marched to victory. },Negative
{Political mega-donors found themselves sidelined as Donald Trump marched to victory. },Negative
{Political mega-donors found themselves sidelined as Donald Trump marched to victory. },Negative
{Political mega-donors found themselves sidelined as Donald Trump marched to victory. },Positive
{RT @CNNPolitics: Donald Trump describes Hillary Clinton's concession call },Negative
{RT @CNNPolitics: Donald Trump describes Hillary Clinton's concession call },Positive
{RT @CNNPolitics: Donald Trump describes Hillary Clinton's concession call },Positive
{RT @CNNPolitics: Donald Trump describes Hillary Clinton's concession call },Positive
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Negative
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Negative
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Positive
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Negative
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
"{""It's a little nutty"": Poll expert @SamWangPhD eats a bug live on air after being wrong about Trump win. }",Negative
"{""It's a little nutty"": Poll expert @SamWangPhD eats a bug live on air after being wrong about Trump win. }",Negative
"{""It's a little nutty"": Poll expert @SamWangPhD eats a bug live on air after being wrong about Trump win. }",Positive
"{""It's a little nutty"": Poll expert @SamWangPhD eats a bug live on air after being wrong about Trump win. }",Negative
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Negative
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Negative
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Negative
"{Reid: ""Watching white nationalists celebrate while innocent Americans cry tears of fear does not feel like America""… }",Positive
{Donald Trump says he hasn't spoken to Chinese President Xi Jinping. State-run media says he has.… },Positive
{Donald Trump says he hasn't spoken to Chinese President Xi Jinping. State-run media says he has.… },Negative
{Donald Trump says he hasn't spoken to Chinese President Xi Jinping. State-run media says he has.… },Negative
{Donald Trump says he hasn't spoken to Chinese President Xi Jinping. State-run media says he has.… },Positive
{.@glennbeck to @donlemon: Not all Muslims are terrorists and not all Trump supporters are bigots and racists  },Positive
{.@glennbeck to @donlemon: Not all Muslims are terrorists and not all Trump supporters are bigots and racists  },Positive
{.@glennbeck to @donlemon: Not all Muslims are terrorists and not all Trump supporters are bigots and racists  },Positive
{.@glennbeck to @donlemon: Not all Muslims are terrorists and not all Trump supporters are bigots and racists  },Positive
{First on CNN: Tea Party Patriots warn against Reince Priebus for chief of staff in Donald Trump's White House… },Negative
{First on CNN: Tea Party Patriots warn against Reince Priebus for chief of staff in Donald Trump's White House… },Negative
{First on CNN: Tea Party Patriots warn against Reince Priebus for chief of staff in Donald Trump's White House… },Negative
{First on CNN: Tea Party Patriots warn against Reince Priebus for chief of staff in Donald Trump's White House… },Negative
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Negative
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
"{""Everybody can take a deep breath now"": Oprah says she has ""hope"" for America }",Positive
{Jorge Ramos speaks to @andersoncooper: Don’t forget who Donald Trump is and what he said in the past },Negative
{Jorge Ramos speaks to @andersoncooper: Don’t forget who Donald Trump is and what he said in the past },Positive
{Jorge Ramos speaks to @andersoncooper: Don’t forget who Donald Trump is and what he said in the past },Negative
{Jorge Ramos speaks to @andersoncooper: Don’t forget who Donald Trump is and what he said in the past },Negative
"{Anti-Trump protesters in Atlanta burned an American flag near the Georgia State Capitol building, police say… }",Negative
"{Anti-Trump protesters in Atlanta burned an American flag near the Georgia State Capitol building, police say… }",Negative
"{Anti-Trump protesters in Atlanta burned an American flag near the Georgia State Capitol building, police say… }",Positive
"{Anti-Trump protesters in Atlanta burned an American flag near the Georgia State Capitol building, police say… }",Negative
"{Hillary Clinton to campaign volunteers: ""These have been very, very tough days"" }",Negative
"{Hillary Clinton to campaign volunteers: ""These have been very, very tough days"" }",Negative
"{Hillary Clinton to campaign volunteers: ""These have been very, very tough days"" }",Negative
"{Hillary Clinton to campaign volunteers: ""These have been very, very tough days"" }",Negative
"{.@AsraNomani on why she voted for Trump: I hope we will deal honestly, without obfuscation, with Islamic extremism }",Positive
"{.@AsraNomani on why she voted for Trump: I hope we will deal honestly, without obfuscation, with Islamic extremism }",Positive
"{.@AsraNomani on why she voted for Trump: I hope we will deal honestly, without obfuscation, with Islamic extremism }",Positive
"{.@AsraNomani on why she voted for Trump: I hope we will deal honestly, without obfuscation, with Islamic extremism }",Negative
"{.@AsraNomani on why she voted for Donald Trump: ""The condition of my life has not improved over the last 8 years"" }",Negative
"{.@AsraNomani on why she voted for Donald Trump: ""The condition of my life has not improved over the last 8 years"" }",Negative
"{.@AsraNomani on why she voted for Donald Trump: ""The condition of my life has not improved over the last 8 years"" }",Negative
"{.@AsraNomani on why she voted for Donald Trump: ""The condition of my life has not improved over the last 8 years"" }",Negative
{Warren Buffett on President-elect Trump: 'He deserves everybody's respect' },Positive
{Warren Buffett on President-elect Trump: 'He deserves everybody's respect' },Positive
{Warren Buffett on President-elect Trump: 'He deserves everybody's respect' },Positive
{Warren Buffett on President-elect Trump: 'He deserves everybody's respect' },Positive
"{President-elect Donald Trump says Hillary Clinton made a ""lovely"" phone call to him to concede the presidential rac… }",Positive
"{President-elect Donald Trump says Hillary Clinton made a ""lovely"" phone call to him to concede the presidential rac… }",Positive
"{President-elect Donald Trump says Hillary Clinton made a ""lovely"" phone call to him to concede the presidential rac… }",Negative
"{President-elect Donald Trump says Hillary Clinton made a ""lovely"" phone call to him to concede the presidential rac… }",Positive
{Climate change experts are increasingly terrified by Donald Trump's presidency },Negative
{Climate change experts are increasingly terrified by Donald Trump's presidency },Negative
{Climate change experts are increasingly terrified by Donald Trump's presidency },Negative
{Climate change experts are increasingly terrified by Donald Trump's presidency },Negative
{Why gun stocks are plunging since Donald Trump won },Negative
{Why gun stocks are plunging since Donald Trump won },Negative
{Why gun stocks are plunging since Donald Trump won },Negative
{Why gun stocks are plunging since Donald Trump won },Negative
{North Carolina GOP condemns KKK parade honoring President-elect Donald Trump },Negative
{North Carolina GOP condemns KKK parade honoring President-elect Donald Trump },Negative
{North Carolina GOP condemns KKK parade honoring President-elect Donald Trump },Positive
{North Carolina GOP condemns KKK parade honoring President-elect Donald Trump },Negative
{Donald Trump is giving control of his business network to his children as he prepares to assume the presidency… },Positive
{Donald Trump is giving control of his business network to his children as he prepares to assume the presidency… },Negative
{Donald Trump is giving control of his business network to his children as he prepares to assume the presidency… },Positive
{Donald Trump is giving control of his business network to his children as he prepares to assume the presidency… },Positive
"{.@AsraNomani is an immigrant, a Muslim and a life-long liberal. She also voted for Trump. }",Positive
"{.@AsraNomani is an immigrant, a Muslim and a life-long liberal. She also voted for Trump. }",Positive
"{.@AsraNomani is an immigrant, a Muslim and a life-long liberal. She also voted for Trump. }",Positive
"{.@AsraNomani is an immigrant, a Muslim and a life-long liberal. She also voted for Trump. }",Negative
{Donald Trump's supporters cry foul over street protests },Negative
{Donald Trump's supporters cry foul over street protests },Negative
{Donald Trump's supporters cry foul over street protests },Negative
{Donald Trump's supporters cry foul over street protests },Negative
"{""This is what happens when you elect a fascist, racist bigot"": Protests erupt across the US after Donald Trump's win }",Negative
"{""This is what happens when you elect a fascist, racist bigot"": Protests erupt across the US after Donald Trump's win }",Negative
"{""This is what happens when you elect a fascist, racist bigot"": Protests erupt across the US after Donald Trump's win }",Negative
"{""This is what happens when you elect a fascist, racist bigot"": Protests erupt across the US after Donald Trump's win }",Negative
{The scene of protests against President-elect Donald Trump in Miami and Atlanta tonight },Negative
{The scene of protests against President-elect Donald Trump in Miami and Atlanta tonight },Negative
{The scene of protests against President-elect Donald Trump in Miami and Atlanta tonight },Negative
{The scene of protests against President-elect Donald Trump in Miami and Atlanta tonight },Negative
{Milwaukee County Sheriff David Clarke: I will serve if Donald Trump asks me to },Positive
{Milwaukee County Sheriff David Clarke: I will serve if Donald Trump asks me to },Positive
{Milwaukee County Sheriff David Clarke: I will serve if Donald Trump asks me to },Positive
{Milwaukee County Sheriff David Clarke: I will serve if Donald Trump asks me to },Positive
{A fourth day of demonstrations against President-elect Donald Trump kicked off early Friday afternoon… },Negative
{A fourth day of demonstrations against President-elect Donald Trump kicked off early Friday afternoon… },Positive
{A fourth day of demonstrations against President-elect Donald Trump kicked off early Friday afternoon… },Negative
{A fourth day of demonstrations against President-elect Donald Trump kicked off early Friday afternoon… },Negative
{MMA star Conor McGregor: Maybe Donald Trump won't be so bad },Positive
{MMA star Conor McGregor: Maybe Donald Trump won't be so bad },Positive
{MMA star Conor McGregor: Maybe Donald Trump won't be so bad },Positive
{MMA star Conor McGregor: Maybe Donald Trump won't be so bad },Negative
"{In an interview, President-elect Trump appeared open to compromising on his pledge to repeal and replace Obamacare… }",Positive
"{In an interview, President-elect Trump appeared open to compromising on his pledge to repeal and replace Obamacare… }",Positive
"{In an interview, President-elect Trump appeared open to compromising on his pledge to repeal and replace Obamacare… }",Positive
"{In an interview, President-elect Trump appeared open to compromising on his pledge to repeal and replace Obamacare… }",Positive
"{The Kremlin says ""lousy"" relations between the US and Russia could improve with Donald Trump in the White House… }",Positive
"{The Kremlin says ""lousy"" relations between the US and Russia could improve with Donald Trump in the White House… }",Positive
"{The Kremlin says ""lousy"" relations between the US and Russia could improve with Donald Trump in the White House… }",Positive
"{The Kremlin says ""lousy"" relations between the US and Russia could improve with Donald Trump in the White House… }",Positive
{Here are the business leaders on Donald Trump's transition team },Positive
{Here are the business leaders on Donald Trump's transition team },Positive
